Type,GPU count,Gflops (per GPU),N,NB,P,Q,dat file & clock speed,note
A100_80,240,2.3420E+06,1489536,1280,15,16,"1395; 1275 for sg024,sg041,sg005",79.99340 GiB (AVG)
A100_80,240,2.1620E+06,1489920,320,15,16,"1410; 1275 for sg024,sg041,sg005",76.24062 GiB (AVG)
A100_80,240,2.5980E+06,1489920,448,15,16,"1410; 1275 for sg024,sg041,sg005","NA, 55.5% R peak"
A100_80,240,2.4410E+06,1489920,512,15,16,"1410; 1275 for sg024,sg041,sg005",76.20520 GiB (AVG)
A100_80,240,2.1290E+06,1491840,192,15,16,"1410; 1275 for sg024,sg041,sg005",74.84782 GiB (AVG)
A100_80,240,2.1660E+06,1491840,320,15,16,"1410; 1275 for sg024,sg041,sg005",75.88297 GiB (AVG)
A100_80,240,2.4770E+06,1491840,384,15,16,"1410; 1275 for sg024,sg041,sg005",75.91839 GiB (AVG)
A100_80,240,2.5370E+06,1491840,448,15,16,"1410; 1275 for sg024,sg041,sg005",
A100_80,240,2.5550E+06,1491840,448,15,16,"1410; 1275 for sg024,sg041,sg005",76.56196 GiB (AVG)
A100_80,240,2.6200E+06,1490048,448,15,16,"1410; 1275 for sg024,sg041,sg005",
A100_80,240,2.58E+06,1490048,448,15,16,"1410; 1275 for sg024,sg041,sg005",
A100_80,240,2.5780E+06,1490496,448,15,16,"1410; 1275 for sg024,sg041,sg005",
A100_80,240,2.1540E+06,1505280,192,15,16,"1395; 1275 for sg024,sg041,sg005",80.02903 GiB (AVG)
A100_80,240,2.1700E+06,1505280,192,15,16,"1410; 1275 for sg024,sg041,sg005",76.09863 GiB (AVG)
A100_80,240,2.1850E+06,1505280,256,15,16,"1410; 1275 for sg024,sg041,sg005",77.13378 GiB (AVG)
A100_80,240,2.5770E+06,1505280,384,15,16,"1410; 1275 for sg024,sg041,sg005",77.16920 GiB (AVG)
A100_80,240,2.5540E+06,1505280,512,15,16,"1410; 1275 for sg024,sg041,sg005",NA
A100_80,240,2.1960E+06,1555200,192,15,16,"1410; 1275 for sg024,sg041,sg005","79.74772 GiB (AVG), OOC, for warm up"
A100_80,240,7.2370E+05,1555200,384,15,16,"1410; 1275 for sg024,sg041,sg005","NA, cut off, OOC"
